time,F_base_x,F_base_y,F_base_z,L0_body_front_x,L0_body_front_y,L0_body_front_z,L1_body_rear_x,L1_body_rear_y,L1_body_rear_z,Lrl1_hip_roll_x,Lrl1_hip_roll_y,Lrl1_hip_roll_z,Lrl2_hip_pitch_x,Lrl2_hip_pitch_y,Lrl2_hip_pitch_z,Lrl3_knee_x,Lrl3_knee_y,Lrl3_knee_z,Lrl4_wheel_x,Lrl4_wheel_y,Lrl4_wheel_z,Lrl4_wheel_contact_x,Lrl4_wheel_contact_y,Lrl4_wheel_contact_z,Lrr1_hip_roll_x,Lrr1_hip_roll_y,Lrr1_hip_roll_z,Lrr2_hip_pitch_x,Lrr2_hip_pitch_y,Lrr2_hip_pitch_z,Lrr3_knee_x,Lrr3_knee_y,Lrr3_knee_z,Lrr4_wheel_x,Lrr4_wheel_y,Lrr4_wheel_z,Lrr4_wheel_contact_x,Lrr4_wheel_contact_y,Lrr4_wheel_contact_z,Lfl1_hip_roll_x,Lfl1_hip_roll_y,Lfl1_hip_roll_z,Lfl2_hip_pitch_x,Lfl2_hip_pitch_y,Lfl2_hip_pitch_z,Lfl3_knee_x,Lfl3_knee_y,Lfl3_knee_z,Lfl4_wheel_x,Lfl4_wheel_y,Lfl4_wheel_z,Lfl4_wheel_contact_x,Lfl4_wheel_contact_y,Lfl4_wheel_contact_z,Lfr1_hip_roll_x,Lfr1_hip_roll_y,Lfr1_hip_roll_z,Lfr2_hip_pitch_x,Lfr2_hip_pitch_y,Lfr2_hip_pitch_z,Lfr3_knee_x,Lfr3_knee_y,Lfr3_knee_z,Lfr4_wheel_x,Lfr4_wheel_y,Lfr4_wheel_z,Lfr4_wheel_contact_x,Lfr4_wheel_contact_y,Lfr4_wheel_contact_z
0,0,0,0.34,0,0,0.54,-0.0799999999932,-1.64082836207e-11,0.573250000016,-0.187000000003,0.0899999999616,0.615000000038,-0.260000000008,0.115999999947,0.615000000053,-0.427106764111,0.221999999912,0.36585078894,-0.308192565701,0.273299999937,0.0904249124808,-0.308192565633,0.273299999937,0.000424912627398,-0.186999999966,-0.0900000000384,0.615000000038,-0.259999999961,-0.116000000053,0.615000000053,-0.42710676402,-0.222000000088,0.36585078894,-0.308192565589,-0.273370000063,0.0904249124808,-0.308192565521,-0.273370000063,0.000424912627398,0.186999999997,0.0900000000384,0.614999999962,0.259999999992,0.116000000053,0.614999999947,0.0928932358889,0.221970000019,0.365850788833,0.211807445212,0.273270000043,0.0904249171236,0.21180744528,0.273270000043,0.000424917270213,0.187000000034,-0.0899999999616,0.614999999962,0.260000000039,-0.115999999947,0.614999999947,0.0928932359799,-0.221999999981,0.365850788833,0.211807434411,-0.273299999957,0.0904249123741,0.211807434479,-0.273299999957,0.000424912520744
0.01,-4.36848558779e-06,7.09680016987e-07,0.339974454003,6.97820175112e-06,7.36344972889e-07,0.539974453682,-0.0799911352759,7.72885918127e-07,0.573228992319,-0.186988730353,0.0900008213965,0.614985050751,-0.259988719803,0.116000850695,0.61498914918,-0.427109961961,0.222000504502,0.365849501969,-0.308192565541,0.273299999936,0.0904249122788,-0.308191527196,0.273299850651,0.000424912431475,-0.186988802595,-0.0899991786035,0.614985074753,-0.25998881291,-0.115999149305,0.614989259436,-0.427109480799,-0.221999495498,0.365849521595,-0.308192565418,-0.273370000064,0.0904249122984,-0.308191670801,-0.273370149348,0.000424912449537,0.187011269045,0.0900006712921,0.614963832369,0.26001127936,0.116000641994,0.61495965803,0.0928633489213,0.221970394955,0.365837957435,0.211807445795,0.273269999965,0.0904249179233,0.211817205617,0.273269886482,0.000424918599136,0.187011196803,-0.0899993287079,0.614963856371,0.260011186253,-0.115999358006,0.614959747592,0.0928636973181,-0.221999604985,0.365837960942,0.211807434924,-0.273299999908,0.0904249133677,0.211817094364,-0.273300113369,0.000424914032729
0.02,-1.06179720337e-05,2.64778888537e-06,0.339886185833,2.51609874422e-05,3.81446311161e-06,0.539886182629,-0.0799688894735,4.13323243559e-06,0.573150493696,-0.186961278578,0.0900045437071,0.614919109763,-0.259961236888,0.116004657595,0.614931934505,-0.427146126959,0.222002670602,0.365834295475,-0.308192566799,0.273300000252,0.0904249192631,-0.308179730356,0.27329918818,0.000424920328824,-0.186961559212,-0.0899954562897,0.61492015982,-0.259961598565,-0.1159953424,0.614933453747,-0.427142533293,-0.221997329414,0.365834851157,-0.308192566682,-0.273369999765,0.090424918341,-0.308180852271,-0.273370811834,0.000424919253671,0.187038715437,0.0900039602216,0.614852203036,0.260038754797,0.116003846332,0.614838949301,0.0927698095391,0.221972245009,0.365797909844,0.211807447666,0.273270000513,0.090424942801,0.211847757919,0.273269327527,0.000424951977465,0.187038434803,-0.0899960397752,0.614853253093,0.260038393106,-0.115996153663,0.614840388149,0.0927728868744,-0.221997754914,0.365798401815,0.211807436612,-0.273299999313,0.0904249359586,0.211846793326,-0.273300672265,0.000424944713041
0.03,-1.21575053475e-05,5.54608318838e-06,0.33972330182,5.00493976655e-05,1.05838207662e-05,0.539723292083,-0.0799396048278,1.16671439026e-05,0.572998173235,-0.186926338133,0.0900130474992,0.614779184842,-0.259926254924,0.116013271782,0.614801225028,-0.427245594091,0.222007412409,0.365792227412,-0.308192565437,0.273300000909,0.09042495132,-0.308147246718,0.273297697662,0.000424962906051,-0.186926889771,-0.0899869524429,0.614783718977,-0.259926965917,-0.115986728142,0.614807089843,-0.427233690295,-0.221992587662,0.365794604764,-0.308192565881,-0.273369999163,0.0904249455869,-0.308151035049,-0.273372302379,0.000424955345244,0.187073643774,0.0900118983876,0.614662857885,0.260073719945,0.116011674089,0.614639566016,0.092608500458,0.221976574156,0.365728977419,0.21180745287,0.273270000235,0.0904249923885,0.211900466856,0.273267970311,0.000425040622424,0.187073092136,-0.0899881015544,0.614667392021,0.260073008902,-0.11598832584,0.614645272734,0.0926193783759,-0.221993424998,0.365731230189,0.211807440007,-0.273299997922,0.0904249797178,0.211897000074,-0.273302027495,0.000425024448477
0.04,-5.07413868813e-06,9.66368329599e-06,0.339479161403,7.86792418942e-05,2.21513716275e-05,0.539479143476,-0.0799073897365,2.45570436188e-05,0.572762641844,-0.186889528387,0.0900276045041,0.614551826541,-0.259889415451,0.116027905221,0.61458100259,-0.427426418414,0.222015249498,0.365715505803,-0.308192558914,0.273300001945,0.0904250211787,-0.308088146793,0.273295176376,0.000425082020782,-0.186890265266,-0.0899723951435,0.61456306577,-0.259890365399,-0.115972094352,0.61459502965,-0.427399415334,-0.221984750636,0.365721497716,-0.308192560602,-0.273369998227,0.0904250047772,-0.308096839445,-0.273374823656,0.000425055956213,0.187110438816,0.090026063653,0.614395207738,0.260110538993,0.116025762867,0.614363349378,0.0923775444744,0.221984125082,0.365630342067,0.21180746229,0.273269998317,0.0904250660898,0.21197597811,0.273265537859,0.000425224111421,0.187109701937,-0.0899739359946,0.614406446967,0.260109588957,-0.115974236717,0.614377165019,0.0924031471112,-0.221985871942,0.365636170086,0.211807445323,-0.273299995339,0.0904250432799,0.211967724007,-0.273304454561,0.000425186255192
0.05,1.21963172436e-05,1.54179955485e-05,0.339151491426,0.000108451462336,3.93201501271e-05,0.539151466835,-0.0798755368474,4.35880280169e-05,0.572439964786,-0.186855105448,0.090048970378,0.614230700003,-0.259855002577,0.116049238669,0.614263380642,-0.42769808365,0.222026393247,0.365599867348,-0.308192546651,0.273300003407,0.0904251346107,-0.307999288127,0.273291513396,0.000425342651685,-0.186855756921,-0.0899510283354,0.614252212258,-0.259855842883,-0.115950759812,0.61428979774,-0.427648306181,-0.221973606774,0.365611601707,-0.30819255015,-0.273369996924,0.0904251006935,-0.308015450912,-0.273378486527,0.000425275485925,0.187144851235,0.0900475952515,0.614050702968,0.260144937242,0.116047326737,0.614013210693,0.0920770870892,0.221995388601,0.365501949716,0.211807476294,0.273269994149,0.0904251627718,0.212074286603,0.273261826878,0.00042555877736,0.187144199763,-0.0899524034618,0.614072215224,0.260144096846,-0.115952671762,0.614039440447,0.0921255584314,-0.221974604342,0.365513545295,0.211807452406,-0.273299991315,0.0904251251167,0.212058521905,-0.273308155659,0.000425475833683
0.06,3.96036978825e-05,2.32798757248e-05,0.338741279674,0.000137080486774,6.26718843324e-05,0.538741252041,-0.0798467044885,6.92808907603e-05,0.572030238167,-0.186826284536,0.0900775825905,0.613814656053,-0.259826258218,0.116077637132,0.61384637715,-0.428063763929,0.222040893951,0.365443619765,-0.308192529559,0.27330000534,0.0904252918672,-0.307879578492,0.273286650813,0.000425837108301,-0.186826402448,-0.089922413918,0.613850108923,-0.259826411425,-0.115922358804,0.613889545631,-0.427983116296,-0.221959105344,0.365463437924,-0.308192535167,-0.273369995219,0.0904252333333,-0.307905954041,-0.273383348836,0.000425690742502,0.187173671044,0.0900773016932,0.613632374433,0.260173680029,0.116077246582,0.613592954111,0.0917088964926,0.222010685415,0.365344360671,0.211807494691,0.273269987353,0.0904252804594,0.212194862121,0.273256690442,0.000426115222874,0.187173553132,-0.0899226948154,0.613667827303,0.260173526805,-0.115922749359,0.613636087932,0.091789131314,-0.221959300792,0.365364170238,0.211807460783,-0.273299985647,0.0904252230523,0.212168578266,-0.273313276922,0.000425948660093
0.07,7.60596892173e-05,3.37103575707e-05,0.338251881871,0.000162639047299,9.25880678678e-05,0.538251854465,-0.0798229596304,0.000101939853776,0.571536481798,-0.186805378835,0.0901136426773,0.613306301475,-0.259805516332,0.116113243642,0.613332285928,-0.428521945976,0.222058712126,0.365246969805,-0.308192509329,0.273300007764,0.0904254890083,-0.307729449181,0.273280566622,0.000426682510935,-0.186804373471,-0.0898863495202,0.613359290984,-0.259804222293,-0.115886747341,0.613396509165,-0.428402275393,-0.221941285071,0.365277321036,-0.308192517079,-0.273369993095,0.0904253992559,-0.307768833821,-0.27338943254,0.000426398771417,0.187194586115,0.0901156839386,0.613144397391,0.260194434873,0.116116081728,0.613107033545,0.0912760296986,0.222030194648,0.365158623634,0.211807516984,0.273269977612,0.0904254163161,0.212336754545,0.273250034658,0.000426974754589,0.187195591479,-0.0898843082589,0.6131973869,0.260195729037,-0.115883909193,0.613171544709,0.0913972537129,-0.221939781245,0.365189233381,0.211807469819,-0.273299978286,0.0904253346853,0.212296799857,-0.273319911686,0.000426667292996
0.08,0.000119890052217,4.71284899822e-05,0.337688353562,0.000183553153978,0.000129292329148,0.537688326552,-0.0798058587857,0.000141708114078,0.570963787832,-0.186793974887,0.0901571884223,0.612710869381,-0.259794377926,0.116156052162,0.612726376534,-0.429067804872,0.22207975773,0.36501146877,-0.308192487837,0.273300010696,0.0904257200006,-0.307550408428,0.273273262474,0.00042801451779,-0.186791152454,-0.0898427963664,0.612784815942,-0.259790742001,-0.115843930322,0.612815782732,-0.428901151073,-0.221920234914,0.365054835148,-0.308192497537,-0.273369990542,0.0904255932291,-0.307605565624,-0.273396735972,0.000427511198311,0.187206006119,0.0901630039041,0.612591816905,0.260205595536,0.116164137735,0.612560441635,0.090782572265,0.2220539907,0.364946186947,0.211807542524,0.273269964777,0.0904255673908,0.212498677026,0.273241807272,0.000428225686376,0.187208828553,-0.0898369808846,0.612665763466,0.260209231719,-0.115835844502,0.612650659126,0.090954031123,-0.221915970132,0.364990238352,0.211807478882,-0.273299969243,0.0904254576367,0.212441864013,-0.273328111915,0.000427698014027
0.09,0.000169132347392,6.39000009848e-05,0.337056884154,0.000198552707269,0.000172885091224,0.537056852295,-0.0797965552495,0.000188608553494,0.570318616466,-0.186793114472,0.0902081420625,0.612035308585,-0.259793893625,0.116205954333,0.612035854767,-0.429694349711,0.222103911666,0.364739559497,-0.30819246667,0.27330001427,0.0904259770685,-0.307344670542,0.273264756227,0.000429977311836,-0.186787710598,-0.0897918311319,0.612133394372,-0.2597869298,-0.115794014842,0.612154325548,-0.4294731131,-0.221896072581,0.364798402756,-0.308192478233,-0.273369987431,0.0904258082687,-0.307418271391,-0.273405241298,0.000429145360888,0.187206881313,0.090219340132,0.611980286325,0.2602061004,0.116221523524,0.6119585722,0.0902333541389,0.222082070187,0.364708797502,0.211807570822,0.273269948739,0.0904257303688,0.212679097565,0.273231988065,0.000429958391813,0.187212285187,-0.0897806330624,0.612078372112,0.260213064454,-0.115778445018,0.61207859997,0.09046408729,-0.221887869401,0.364768926061,0.211807487445,-0.27329995865,0.0904255894779,0.212602281986,-0.273337897734,0.000429107125113
